,movieName,Metascore_w,Author,AuthorHref,Date,Summary,InteractionsYesCount,InteractionsTotalCount,InteractionsThumbUp,InteractionsThumbDown,sentiment_tuple,sentiment_polarity,sentiment_subjectivity,rel_sent,abs_sent
171541,butter,3,GreatMartin,/user/GreatMartin,"Oct  8, 2012","[ ""One of the many amazing things about movies is that it can take you from a rainy, no beach, Columbus holiday to a butter sculpture contest at the Iowa State Fair. tA wife, Laura Pickler (Jennifer Garner), of the ma, Bob Pickler (Ty Burrell), who won it for 15 years in a row and has been sort of pushed not to enter this year, finds herself in a"" ]",0.0,3.0,0.0,3.0,"(0.6, 0.7666666666666666)",0.6,0.7666666666666666,inf,0.7666666666666666
27369,draft-day,8,GreatMartin,/user/GreatMartin,"Apr 11, 2014","[ ""WOW! I love being surprised in the movies! I am neither a Kevin Costner or a football fan and only went to see this movie because of the 3 new films opening today this was the closest and most convenient.  I now like Kevin Costner who plays the underdog , the general manager of the Cleveland Browns, Sonny Weaver, Jr., and though I still don’t like football I did learn what “Draft Day” is and some of how it works."", """", ""This is an excellent film about what goes on in the backroom of a big business and there are so many things to talk about the positives so in no particular order, and Costner’s performance a given and hoping he is remembered at awards time here we go."", """", ""The director, Ivan Reitman, and his director of photography Eric Steelberg, use a split screen technique that is used to a great advantage, in ways I haven’t seen before, and not overused. The screenplay, written by Rajiv Joseph and Scott Rothman, is sharp with many funny lines especially one by Jennifer Garner about football players and teams all desiring a piece of jewelry."", """", ""The acting from Garner, as Ali, Costner’s pregnant girlfriend who is one of the team’s financial executives, have two scenes in a storeroom that are very effective. With all the good acting by Ellen Burstyn as his mother, Frank Langella as his boss, Dennis Leary as the coach of the team, along with Josh Callahan, Chadwick, Tom Welling and Arian Foster as football players and pawns in the draft along with real life sports announcers, commissioners and former players add to the believable story and has you think ‘it is based on true story, but it isn’t."", """", ""One outstanding actor, among all these veterans, deserves his own paragraph is Griffin Newman as Rick the new intern for Ali. The writers gave him great lines and the director did a good job but Newman has an innate talent to put these lines over to bring smiles to your face."", """", ""Along with a moving love story, relationships stories and the football behind the scenes drama there is also the sparkling shots of the 7 or so cities and their football stadiums, a very neat and clean locker room, that gives a shine to what you know is a ‘dirty’ business."", """", ""Do yourself a favor and go see “Draft Day” that is an excellent film with very few ‘special effects’ to move it along."" ]",0.0,3.0,0.0,3.0,"(0.27353841991341993, 0.5904713203463204)",0.27353841991341993,0.5904713203463204,inf,0.5904713203463204
27923,the-fault-in-our-stars,8,GreatMartin,/user/GreatMartin,"Jun 13, 2014","[ ""At a point, when watching “The Fault In Our Stars”, you forget you are watching actors and just know that Shailene Woodley and Ansel Elgott are Hazel Grace and Augustus (Gus) Waters, teenagers who are falling in love, Hazel Grace reluctantly and Augustus all gung ho. That both have cancer, hers in the metastatic stage and his in remission, is handled lightly though it is a major theme as to what happens. Watching Gus and Hazel Grace fall in love just brings smiles to your face as she fights it and knows it is inevitable."", """", ""As her parents Laura Dern and Sam Trammell are supportive, caring and, knowing they have a strong daughter, don’t baby her. Gus’s best friend Isaac, played by Nat Wolff, who also has cancer, brings black humor that relieves a few heavy moments."", """", ""About midway in the movie the production moves to Amsterdam and it will certainly bring many more tourists as they want to follow where Gus and Hazel Grace have a romantic dinner or cruise along the canals the lovers travel plus visit the Anne Frank house and memorial, not to mention the hotel---oh, oh that would be a spoiler!!!"", """", ""The only part of the film where the director, Josh Boone, and screenplay writers, Scott Neustadter and Michael H. Weber based on the book by John Green, go astray is when it comes to the story line, acted by William DaFoe as an author and Lotte Verbeek as his assistant, which also adds a false note to the ending."", """", ""I had expected a tear jerker---come on--teens with cancer--from beginning to end but Woodley and Elgort don’t let you dwell on that with Elgort’s exuberance for life and Woodley as natural an actress that puts her up there with Jennifer Lawrence."", """", ""There was a twist near the end that surprised me but we get to meet another couple of real parents in David Whalen and Milica Govich."", """", ""“The Fault In Our Stars” is a beautiful love story that will bring tears to your eyes but not the depression you would expect in a story about teens with cancer."" ]",1.0,3.0,1.0,2.0,"(0.20773809523809525, 0.5775238095238096)",0.20773809523809525,0.5775238095238096,inf,0.5775238095238096
3705,the-salesman,1,GreatMartin,/user/GreatMartin,"Mar 13, 2017","[ ""The only reason I can come up for “The Salesman” winning the best foreign film Oscar was the Academy members voting for it because the director, ASghar Farhadi refused to come to the USA in protest of Trump’s immigration executive order!"", ""The two leads, Shahab Hosseini and Taraneh Alidoosti, play actors appearing in a stage show of Arthur Miller’s “Death of a Salesman” and are shown at the theatre performing in front of audiences. Why? I don’t know, except maybe to give the film a title, as it doesn’t seem to have anything to do with the film or what takes place. Yes I can give a farfetched explanation regarding the famous line from the play, “Attention must be paid” but that is farfetched!"", ""The film opens with the couple having to move because their building may collapse and sets up for the assault that takes place and brings in a character, Babak Karimi, an actor who works with the husband and wife in the play who may or may not be the assaulter. Also the assault may or may not have included rape."", ""There were a total of 5 seconds that aroused my interest in the film; the first being where, because of Iranian culture where the movie takes place, a character in the play is suppose to be in a revealing negligee the actress is fully dressed and the second is when someone is slapped unexpectedly."", ""“The Salesman” runs a little over 2 hours and you can find better things to do with those 2+ hours."" ]",3.0,8.0,3.0,5.0,"(0.2276041666666667, 0.5715277777777777)",0.2276041666666667,0.5715277777777777,inf,0.5715277777777777
1437,wakefield,8,GreatMartin,/user/GreatMartin,"Jun  6, 2017","[ ""“Wakefield” is based on a short story by E. L. Doctorow in The New Yorker that would have been better as a one man play than it will appeal to a movie audience."", ""It is a story told in one voice, that of Howard Wakefield, of a successful businessman, husband and father, who decides to ‘disappear’. He goes up in the attic in a converted carriage house that is part of his home that allows him to spy on his wife and kids, while they have no idea what happened to him."", ""We follow him as he survives going through garbage at night, all the time talking about what, where he has been, what brought him to this point to want to walk away from his beautiful wife and 2 daughters."", ""Bryan Cranston is excellent as Howard, and what made me think of his doing it on stage, while Jennifer Garner is his wife Diana and Jason O’Mara, his friend Dirk, who competed for and lost Diana to Howard."", ""Becoming unkempt with long hair and beard and a general look of a homeless man he is, to a certain point, after being ’gone’ for awhile, can walk around town without being noticed as just one of the many homeless men."", ""“Wakefield” is not a movie for everyone but it enthralled me to the point that I wanted to know what happened after ‘the end’ appeared on the screen plus I want to read the original short story."", ""The director and screenwriter Robin Swicord, along with Byron Cranston and a few raccoons, handle what is a one man story while the production values all are first rate."" ]",0.0,1.0,0.0,1.0,"(0.3217099567099567, 0.5672871572871574)",0.3217099567099567,0.5672871572871574,inf,0.5672871572871574
32494,all-is-lost,2,GreatMartin,/user/GreatMartin,"Nov 12, 2013","[ ""When reviewing a movie, play, musical, cabaret act or anything that comes under the guise of 'art' I do my best to be kind but I am at a loss regarding the new Robert Redford film \""All Is Lost\"". I have walked out on only one movie in the 70+ years I have been movie going and it took all I had not to walk out on this one."", """", ""To be positive Redford does a good job with what he is given to work with but he is the only one on the screen for the hour and forty minutes of the film and if the audience applauds when a school of fish appear you know something isn't working. My feeling is nothing in the movie works with the director J.C. Chandor, also the writer, along with the directors of photography Frank G. DeMarco and Peter Zuccarini, doing some shots that are incomprehensible. I am not a 'sailor' but even I know some things in the screenplay, on the screen, are not believable."", """", ""When Robert Redford costars with strong actors like  Paul Newman, Barbra Streisand or Dustin Hoffman he shines and he shines here but the ocean wins out. And don't hate me Redford fans but he hasn't aged as well as Newman did. He gives his all and is getting a lot of the spotlight for it but as honest an acting job he does it is not enough to 'sell' the film"" ]",2.0,4.0,2.0,2.0,"(0.262310606060606, 0.5583333333333333)",0.262310606060606,0.5583333333333333,inf,0.5583333333333333
8430,free-state-of-jones,6,GreatMartin,/user/GreatMartin,"Jun 24, 2016","[ ""Matthew McConaughey is a powerful actor in a powerful role but “Free State of Jones” is not as powerful a screenplay, by Gary Ross, as it could have, should have been. All the elements are there from the story being based on a not too well known chapter in American history that includes the Civil War, slaves being mistreated by owners, inter-racial lovers, voting rights, KKK attacking, the poor who are fighting the war so the rich can get richer, a band of escaped slaves, a time in the future when a man is put on trial for marrying a white woman because he may be part black and just after that scene the film doesn’t go into the high you would not only expect but want."", """", ""The idea of a band of people calling a section of their State, here the Free State of Jones, and how that is done or would work is passed over just as what the slaves and poor white people have in common enough to unite and go against those in charge."", """", ""Gary Ross, who also directed the film, tries to stick to the facts of history and, in most cases, stays away from over dramatizing those scenes that might have been more moving, for instance the coupling of white, married Newton Knight (Matthew McConaughey) and black slave Rachel (Gugu Mbatha-Raw) who give birth to a son and, due to reversals in fortune, his wife (Keri Russell), along with his first son, comes to live with them."", """", ""McConaughey continues his winning streak of strong characters but here he applies the strength that is only hinted at by the director and writer, while the depth of his relationship with Rachel is helped by the subtle playing of Gugu Mbatha-Raw who, after “Belle” and “Beyond the Lights” should be a huge star. Mahershala Ali, who names himself Moses, starts with a repulsive iron necklace with spears eventually removed by McConaughey, and winds up in one of the most shocking scenes of the film."", """", ""The cast, with many speaking parts, is an honest look at all sexes, ages, social strata most of who made up the armies of the Civil War. The swamp, filmed in Louisiana, provides some breath taking scenes."", """", ""“Free State of Jones” will show many viewers a part of American history not too well known, contains strong performances but at 140 minutes could have been tightened by eliminating the courtroom scenes that take place in the late 1940s making for a tighter, faster moving and, possibly, allowed some room to add emotional scenes as even most of the death moments offer nothing."" ]",5.0,6.0,5.0,1.0,"(0.13065993265993267, 0.5571851851851852)",0.13065993265993267,0.5571851851851852,inf,0.5571851851851852
4664,the-brand-new-testament,3,GreatMartin,/user/GreatMartin,"Dec  9, 2016","[ ""In \""The Brand New Testament\"" God lives in Brussels in an apartment with his wife and daughter with his son JC taking off many years/centuries before and has a huge room filled with files of all his creations, also with important information on his computer. He is bored with the humans he has created so he sits around all day making new rules like \""The other line will always move faster than the one you are in\""  or \""as soon as you get in the tub the phone will ring\"" while also setting up disasters for them."", ""Ea, (Pili Groyne), His daughter 10 years old rebels, sneaks into the office, breaks into the computer files and lets everyone know when they are going to die, some within minutes and others up to 90 years later, causing havoc such as one young man being told he will live for 61 years goes jumping off sky high buildings, airplanes, etc."", ""\""The Brand New Testament\"" is being sold as a comedy, a satire, a farce and, in some cases, just silly."", ""Ea has to find 6 more Apostles to make a total of 18--why that number may constitute a 'spoiler' so I'll let you figure that out--to solve the world's problems."", ""One by one we, and Ea, meet the apostles; Aurelie (Laura Verlinden) who has a prosthetic arm, Jean-Claude (Didier De Neck) who quits his job to follow a flock of birds, Marc (Serge Lariviere) a sex maniac killer, Francois (Francois Damiens), Martine (Catherine Deneuve) who falls in love with a gorilla and a boy Willie (Romain Gelin) who wants to be a girl before he dies."", ""There is no faulting the cast from all those mentioned in addition to David Murgia who plays JC when he isn't a statue on a shelf in his parent's home, Yolande Moreau as God's sort of spaced out wife and God himself played by Benoit Poelvoorde as a really loud, slovenly dressed bore and jerk. Ten year old Ea played by Pili Groyne holds her own with God and the rest of the cast."", ""Bottom line for me is that \""The Brand New Testament\"" will be in my top 5 most boring films but in all fairness Philippe liked it (The film is in French and he is French so maybe ???), Allen thought it was good (but only laughed once!) while I only heard one person in the audience laugh from beginning to end whil the rest of us were silent."", ""Let me leave you with what the director/screenwriter Jaco Van Dormael sees as a funny line in one of God's new laws: \""When a piece of bread with jelly falls on the floor it will always land on the jelly side.\"" If you like that, find it funny, then you may like this film. I liked the line but didn't find it, or any of His new laws, funny."" ]",0.0,2.0,0.0,2.0,"(0.1662396694214876, 0.5560743801652893)",0.1662396694214876,0.5560743801652893,inf,0.5560743801652893
33945,the-wolf-of-wall-street,4,GreatMartin,/user/GreatMartin,"Dec 25, 2013","[ ""In a movie about the excesses of Wall street brokers in the 1990s \""the Wolf Of Wall Street\"" is excessive in all aspects starting with a movie that, running at 3 hours, could have easily been cut by an hour.  You will see at least 3-4 scenes more than you need to showing the excess of drugs whether cocaine, Quaaludes or whatever else is on hand. After one scene of fellatio it is almost quarantined that there will be  a dozen more. If you miss that full frontal nude scene--women only, of course--just wait a few minutes as there are so many repeats of the scene, using different women, over the three hours you aren't really missing anything. Whether it be orgies of sex or luxury or curse words it almost makes the story meaningless. It does leave the question why a man who owns a 170 foot yacht wouldn't own his own jet or at least rent one to go to Las Vegas but then the excessive orgy on the plane wouldn't have the same outcome. It is one of the many missteps in this film."", """", ""\""The Wolf Of Wall Street\"" is based on the book, and true story, by Jordan Belfort who made his fortune during the 1990s when the stock market made millionaires of many young men. Terence Winter wrote the screenplay and Martin Scorsese directed the film working with Leonardo DiCaprio for the fifth time."", """", ""DiCaprio plays his second rich man this year, after starring as Gatsby, but Jordan Belfort is more interested in himself than he is in a woman or women, though he has sex with many of them. He also has 2 slapstick scenes, one with Jonah Hill, that shows his comedic talent and he is much more relaxed in this film than he has been in awhile. This is one of his better performances though he too has excessive, unnecessary scenes and goes a little overboard here and there."", """", ""Jonah Hill, as Belfort's best friend and business partner, gets too hammy here and there to raise the empathy of the audience to accept the fact that he is not a 'bad' person. Kyle Chandler plays the FBI man who doesn't seem capable of a smile. The women in the film are there to play the wives, mothers, girlfriends and hookers. Would you accept Rob Reiner as DiCaprio's father? He does  a good job as does Jean Dujardin, Jon Favreau and Jon Bernthal."", """", ""With \""Magic Mike\"", \""Mud\"", \""Dallas Buyers Club\"" Matthew McConaughey adds the cherry to the top of his winning acting streak in \""The Wolf Of Wall Street\"" playing Mark Hanna, a very successful Wall street broker who seems to have invented excessiveness. His role calls for him to be over the top and he takes it just far enough."", """", ""As in most Scorsese movies all the production values are first rate except for the editing in this one. It seems as if the director was rushed and the picture was being released before he finished his job. Whether he would have cut the movie and removed a lot of the excessive excessivenes, if not by an hour at least by 30 minutes, hopefully he will when it comes out on DVD or the viewer can fast forward through all the repetitions."" ]",3.0,11.0,3.0,8.0,"(0.18791666666666665, 0.5531666666666667)",0.18791666666666665,0.5531666666666667,inf,0.5531666666666667
36711,love-is-all-you-need,8,GreatMartin,/user/GreatMartin,"Jun  4, 2013","[ ""“Love Is All You Need” is a beautiful movie. Starting with the opening scene where you see beautiful Danish actress Trine Dyrholm, who is absolute perfection and an absolute joy to watch as, from head to toe, she gives meaning to each gesture and is mesmerizing on screen to her co-star Pierce Brosnan, who is not only aging handsomely  but also delivers a strong performance allowing her to shine."", """", ""Ida (Dyrholm) has just finished her last chemo dose and, being a hairdresser, has fixed herself a great wig to wear to her daughter Astrid’s (Molly Blixt Egelind) wedding in Italy and approaching the airport she meets the father of the groom Patrick, (Sebastian Jessen)  Philip, (Brosnan) by backing  her car into his. It isn’t long before Ida and Philip realize they are becoming family. Philip had lost his wife years earlier in a senseless accident while Ida, coming home from the hospital that day, found her husband Leif (Kim Bodnia) having sex with his accountant Tilde (Christiane Schaumburg-Muller) who brings her to the wedding."", """", ""The wedding is going to be held in Philip’s country home. Beautiful is the only word to use to describe the seaside town of Sorrento as the camera lingers over the water, coves, sunrises, sunsets, lemon tree groves, houses and Dyrholm’s face and body.  Philip’s sister-in-law, Benedikte, (Paprika Steen) has been in love with him and provides humor no matter how much it humiliates her."", """", ""“Love Is All You Need” is a romantic comedy that is filled with lots of romance supplied by Dyrholm and Brosnan and the comedy by Schaumburg-Muller, Steen and Bodnia. Micky Skeel Hansen as the brother of the bride, along with the other young actor, provide the ups and downs needed in a film of this genre and it was surprising to me that the audience was so surprised, and expressed it, at one turn of events."", """", ""The film was directed by Susanne Bier who also wrote the screenplay with Anders Thomas Jensen and a deep bow to the director of photography Morten Soborg. The film will make you want to get on the next plane to Sorrento. Opening with Dean Martin singing “That’s Amore” it is heard constantly through the film blending in with the scenery."", """", ""Bald, wearing a wig, having her own short hair, dressed in red or coming out of the water completely nude, Trine Dyrholm is a sight to behold. Hopefully this movie will get a much wider play to introduce her to a larger audience while they watch a touching romantic comedy. See it--see her!"" ]",1.0,1.0,1.0,0.0,"(0.26395833333333324, 0.5502083333333331)",0.26395833333333324,0.5502083333333331,inf,0.5502083333333331
